0,118
50000,40
100000,38
150000,37
200000,37
250000,37
300000,36
350000,36
400000,36
450000,36
500000,36
550000,36
600000,36
650000,36
700000,35
750000,35
800000,35
850000,35
900000,35
950000,35
1000000,35
1050000,35
1100000,35
1150000,35
1200000,35
1250000,35
1300000,35
1350000,35
1400000,34
1450000,34
1500000,34
1550000,34
1600000,34
1650000,34
1700000,34
1750000,34
1800000,34
1850000,34
1900000,34
1950000,34
2000000,34
2050000,34
2100000,34
2150000,34
2200000,34
2250000,34
2300000,34
2350000,34
2400000,34
2450000,34
2500000,34
2550000,34
2600000,34
2650000,34
2700000,34
2750000,34
2800000,34
2850000,34
2900000,34
2950000,34
3000000,34
3050000,34
3100000,34
3150000,34
